tiempo,amplitud_original,amplitud_filtrada
0.000000,4.000566,4.000566
0.005000,7.391435,4.339653
0.010000,-9.340158,2.971672
0.015000,-1.731468,2.501358
0.020000,5.689153,2.820137
0.025000,9.870880,3.525212
0.030000,8.713779,4.044068
0.035000,6.189502,4.258612
0.040000,16.863290,5.519080
0.045000,10.031160,5.970288
0.050000,18.956860,7.268945
0.055000,22.345540,8.776604
0.060000,3.558526,8.254797
0.065000,10.194300,8.448747
0.070000,12.689150,8.872787
0.075000,12.000000,9.185508
0.080000,5.747487,8.841706
0.085000,0.310847,7.988620
0.090000,5.919299,7.781688
0.095000,-2.919299,6.711590
0.100000,5.902980,6.630729
0.105000,7.391435,6.706799
0.110000,-7.391435,5.296976
0.115000,0.217017,4.788980
0.120000,4.520127,4.762095
0.125000,5.852413,4.871126
0.130000,1.782983,4.562312
0.135000,-1.689153,3.937166
0.140000,5.919299,4.135379
0.145000,-2.010125,3.520829
0.150000,8.000000,3.968746
0.155000,11.391430,4.711014
0.160000,-5.393642,3.700549
0.165000,2.112830,3.541777
0.170000,6.579705,3.845569
0.175000,8.000000,4.261013
0.180000,3.615776,4.196489
0.185000,-0.717646,3.705075
0.190000,6.919299,4.026498
0.195000,-0.919299,3.531918
0.200000,10.965090,4.275235
0.205000,19.253190,5.773031
0.210000,11.608570,6.356585
0.215000,32.146050,8.935531
0.220000,54.689150,13.510893
0.225000,76.914210,19.851225
0.230000,91.782980,27.044400
0.235000,99.310840,34.271044
0.240000,108.919300,41.735870
0.245000,92.080010,46.770284
0.250000,82.000000,50.293255
0.255000,61.391430,51.403073
0.260000,18.608560,48.123622
0.265000,4.085177,43.719777
0.270000,-8.291375,38.518662
0.275000,-18.892520,32.777544
0.280000,-17.217020,27.778087
0.285000,-14.659290,23.534350
0.290000,-2.080701,20.972845
0.295000,-5.889462,18.286614
0.300000,4.000000,16.857953
0.305000,9.209737,16.093131
0.310000,-6.497678,13.834050
0.315000,0.217017,12.472347
0.320000,4.677180,11.692830
0.325000,5.905847,11.114132
0.330000,1.782983,10.181017
0.335000,-4.596254,8.703290
0.340000,2.919299,8.124891
0.345000,-4.810804,6.831321
0.350000,4.112040,6.559393
0.355000,7.391435,6.642597
0.360000,-9.336447,5.044693
0.365000,-1.782983,4.361925
0.370000,2.815233,4.207256
0.375000,4.000000,4.186530
0.380000,-0.217017,3.746176
0.385000,-4.606074,2.910951
0.390000,2.919299,2.911786
0.395000,-2.919299,2.328677
0.400000,6.000000,2.695809
0.405000,10.349800,3.461208
0.410000,-6.500018,2.465086
0.415000,2.217017,2.440279
0.420000,-0.310847,2.165166
0.425000,9.000000,2.848650
0.430000,4.725787,3.036363
0.435000,1.154967,2.848224
0.440000,9.825565,3.545958
0.445000,3.080701,3.499432
0.450000,12.959490,4.445438
0.455000,17.377420,5.738636
0.460000,1.608565,5.325629
0.465000,9.217017,5.714768
0.470000,14.689150,6.612206
0.475000,15.975150,7.548500
0.480000,12.698740,8.063524
0.485000,8.310847,8.088257
0.490000,15.711470,8.850578
0.495000,8.964203,8.861941
0.500000,19.000000,9.875746
0.505000,24.391440,11.327316
0.510000,9.481881,11.142772
0.515000,19.217020,11.950197
0.520000,25.689150,13.324092
0.525000,28.882570,14.879940
0.530000,27.776810,16.169627
0.535000,25.310850,17.083749
0.540000,34.870950,18.862469
0.545000,29.946950,19.970918
0.550000,42.000000,22.173826
0.555000,47.336420,24.690085
0.560000,33.573700,25.578447
0.565000,43.217020,27.342304
0.570000,50.684670,29.676541
0.575000,53.962860,32.105173
0.580000,52.680810,34.162736
0.585000,50.229820,35.769445
0.590000,58.817950,38.074295
0.595000,52.021180,39.468984
0.600000,62.000000,41.722085
0.605000,65.391430,44.089020
0.610000,49.554630,44.635581
0.615000,57.205230,45.892546
0.620000,60.689150,47.372206
0.625000,62.000000,48.834986
0.630000,56.782980,49.629785
0.635000,52.310850,49.897891
0.640000,57.885910,50.696693
0.645000,48.080700,50.435094
0.650000,54.939140,50.885499
0.655000,55.206540,51.317603
0.660000,34.552370,49.641079
0.665000,39.217020,48.598674
0.670000,39.654690,47.704275
0.675000,38.000000,46.733848
0.680000,29.782980,45.038761
